group_x,n_x,region,mean_x,se_x,std_x,sample_size_x,group_y,n_y,mean_y,se_y,std_y,sample_size_y,comparison,p_value,group1,group2,t,significant,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high,test,sample_size,alpha,std_t,std_p,std_p_low,std_p_high,proba_significant,metric,study,clinical_measure,r,std_r
PD,76.0,Pallidum,0.908,0.02,0.17435595774162696,76.0,Control,70.0,0.89,0.019,0.15896540504147436,70.0,Control vs. PD,0.45,Control,PD,0.652499490234973,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,146,0.05,0.1598145928494424,0.102765228506584,0.09996575462926041,0.10564449553658353,2.018123697373291e-08,subcortical volume,cross-sectional,,,
PDE,22.0,Pallidum,0.93,0.033,0.15478372007417318,22.0,Control,70.0,0.89,0.019,0.15896540504147436,70.0,Control vs. PDE,0.245,Control,PDE,1.0504514628777812,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,92,0.05,0.1598145928494424,0.07303822750341993,0.07104856025007712,0.07508460606391454,0.00010120249361752843,subcortical volume,cross-sectional,,,
PDL,27.0,Pallidum,0.899,0.032,0.16627687752661222,27.0,Control,70.0,0.89,0.019,0.15896540504147436,70.0,Control vs. PDL,0.809,Control,PDL,0.2418341467052068,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,97,0.05,0.1598145928494424,0.12347650203786185,0.1201128230294885,0.12693605568712474,1.2334026326701616e-09,subcortical volume,cross-sectional,,,
PDL,27.0,Pallidum,0.899,0.032,0.16627687752661222,27.0,PDE,22.0,0.93,0.033,0.15478372007417318,22.0,PDE vs. PDL,0.433,PDE,PDL,-0.674391278696446,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,49,0.05,0.1598145928494424,0.10066322836676227,0.09792101602203174,0.10348360174384443,3.4842823101303436e-08,subcortical volume,cross-sectional,,,
PDL,27.0,Pallidum,0.899,0.032,0.16627687752661222,27.0,PDM,27.0,0.9,0.027,0.14029611541307907,27.0,PDM vs. PDL,0.986,PDM,PDL,-0.02388410885962161,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,54,0.05,0.1598145928494424,0.1268651728001179,0.1234091814851828,0.1304196699253315,0.01399999999705558,subcortical volume,cross-sectional,,,
PDM,27.0,Pallidum,0.9,0.027,0.14029611541307907,27.0,Control,70.0,0.89,0.019,0.15896540504147436,70.0,Control vs. PDM,0.781,Control,PDM,0.30289126640769165,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,97,0.05,0.1598145928494424,0.12142046212405044,0.11811279262505196,0.12482240982991953,2.614805460260991e-10,subcortical volume,cross-sectional,,,
PDM,27.0,Pallidum,0.9,0.027,0.14029611541307907,27.0,PDE,22.0,0.93,0.033,0.15478372007417318,22.0,PDE vs. PDM,0.443,PDE,PDM,-0.7035975447302925,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,49,0.05,0.1598145928494424,0.09863587678351575,0.09594889243642535,0.10139944800429769,8.338540672717205e-09,subcortical volume,cross-sectional,,,
PD,76.0,Putamen,3.029,0.047,0.40973650069282336,76.0,Control,70.0,3.254,0.044,0.3681304116749932,70.0,Control vs. PD,0.001,Control,PD,-3.4947832913239787,True,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,T,146,0.05,0.1261276039195501,0.0002745864005515648,0.00026710626873476873,0.0002822797378942022,1.0,subcortical volume,cross-sectional,,,
PDE,22.0,Putamen,2.978,0.076,0.35647159774658066,22.0,Control,70.0,3.254,0.044,0.3681304116749932,70.0,Control vs. PDE,0.001,Control,PDE,-3.1428638788525083,True,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,T,92,0.05,0.1261276039195501,0.0008785791524154365,0.0008546453819943399,0.0009031951049468187,1.0,subcortical volume,cross-sectional,,,
PDL,27.0,Putamen,3.02,0.074,0.3845152792802908,27.0,Control,70.0,3.254,0.044,0.3681304116749932,70.0,Control vs. PDL,0.004,Control,PDL,-2.7179918621193884,True,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,T,97,0.05,0.1261276039195501,0.0027573471856511557,0.002682233049000863,0.0028346022937969888,0.999999999912541,subcortical volume,cross-sectional,,,
PDL,27.0,Putamen,3.02,0.074,0.3845152792802908,27.0,PDE,22.0,2.978,0.076,0.35647159774658066,22.0,PDE vs. PDL,0.656,PDE,PDL,0.3959446039526446,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,T,49,0.05,0.1261276039195501,0.09241260498894009,0.08989515159189553,0.09500181313422222,9.973755374862888e-17,subcortical volume,cross-sectional,,,
PDL,27.0,Putamen,3.02,0.074,0.3845152792802908,27.0,PDM,27.0,3.068,0.064,0.33255375505322443,27.0,PDM vs. PDL,0.596,PDM,PDL,-0.4906139496986886,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,T,54,0.05,0.1261276039195501,0.08861604515758569,0.0862020155569558,0.09109888162726608,1.718977596763144e-16,subcortical volume,cross-sectional,,,
