Group,N,Total GM Mean,Total GM SE,Cortical GM Mean,Cortical GM SE,Putamen Mean,Putamen SE,Caudate Mean,Caudate SE,GP Mean,GP SE
Control,70,414.8,2.6,305.3,2.1,3.254,0.044,2.370,0.030,0.890,0.019
PD,76,402.5,2.8,294.5,2.2,3.029,0.047,2.248,0.032,0.908,0.020
PDE,22,400.6,4.5,292.6,3.6,2.978,0.076,2.268,0.030,0.930,0.033
PDM,27,405.1,3.8,296.8,3.0,3.068,0.064,2.257,0.043,0.900,0.027
PDL,27,400.3,4.4,292.6,3.5,3.020,0.074,2.214,0.050,0.899,0.032
