region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,0.02535328525651805,0.026816552916512314
BrainSegVolNotVent,rh,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,0.02535328525651805,0.026816552916512314
bankssts,lh,0.18289717672401498,84.56939955649534,462.3876708830088,192,hc & pd,0.17783842045063702,0.18810238453722336
bankssts,rh,0.18248372314310038,62.31830441936886,341.500619046993,192,hc & pd,0.1774364025896918,0.18767716417101266
caudalanteriorcingulate,lh,0.15899049130299317,66.73313619444356,419.7303602721003,192,hc & pd,0.1545929704681029,0.1635153208404385
caudalanteriorcingulate,rh,0.11834644643874463,56.72717016506198,479.33141950674116,192,hc & pd,0.11507309996572945,0.12171455664526766
caudalmiddlefrontal,lh,0.1080088155424974,108.73894900378944,1006.7599432289372,192,hc & pd,0.10502139778683563,0.11108271936445492
caudalmiddlefrontal,rh,0.12843593946449597,133.17094286682234,1036.8666544743521,192,hc & pd,0.12488352752391352,0.13209119411397668
cuneus,lh,0.11983552143973415,64.92422370516222,541.7777877973596,192,hc & pd,0.11652098861470572,0.12324601034760421
cuneus,rh,0.13385135961781733,83.30454919550712,622.3661039631174,192,hc & pd,0.13014916247461839,0.13766073576768845
eTIV,lh,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,0.0005766824375209435,0.0006099657281230606
eTIV,rh,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,0.0005766824375209435,0.0006099657281230606
entorhinal,lh,0.39711682510224955,144.37001920035289,363.54546086829873,192,hc & pd,0.38613296375330525,0.40841867042213587
entorhinal,rh,0.3584501559870382,121.29582477303906,338.3896554293177,192,hc & pd,0.3485357767288556,0.3686515575942644
frontalpole,lh,0.3728791842844872,65.3683741188038,175.30711521008683,192,hc & pd,0.36256571227525236,0.38349123242096084
frontalpole,rh,0.3551048581876939,69.80053397553081,196.56316258742117,192,hc & pd,0.34528300658101396,0.3652110534579248
fusiform,lh,0.15983599700022388,199.4730901096301,1247.986022255992,192,hc & pd,0.1554150903081725,0.1643848894179179
fusiform,rh,0.14478489817645648,185.49555879247023,1281.1802966245668,192,hc & pd,0.1407802900952407,0.14890544009362275
inferiorparietal,lh,0.09214228569673305,159.11110779388545,1726.7979255210382,192,hc & pd,0.0895937205730893,0.09476463205563417
inferiorparietal,rh,0.07627268605713043,154.41187027262424,2024.4713835955026,192,hc & pd,0.07416305847298722,0.07844338758741182
inferiortemporal,lh,0.13536542516942404,217.18234372222682,1604.4151854168103,192,hc & pd,0.13162135046012655,0.1392178912454498
inferiortemporal,rh,0.11403690828209735,173.82234810841518,1524.2639486369128,192,hc & pd,0.11088275940182686,0.11728237011270723
insula,lh,0.20196487234479207,154.34138889786846,764.1991753614393,192,hc & pd,0.19637872233812528,0.2077127419967609
insula,rh,0.26248666520582903,194.9359264596434,742.6507792568599,192,hc & pd,0.2552265418508812,0.26995696991509244
isthmuscingulate,lh,0.1496782943115406,70.15341658803483,468.69465549906266,192,hc & pd,0.14553833969934019,0.15393810105636407
isthmuscingulate,rh,0.13983367941541977,53.67400351982469,383.84174502316597,192,hc & pd,0.13596601718223125,0.14381331088748528
lateraloccipital,lh,0.09920915869769527,169.9505919670064,1713.0534539141752,192,hc & pd,0.09646513080766488,0.10203262649115556
lateraloccipital,rh,0.09325166454902972,170.71012784365618,1830.6389346422923,192,hc & pd,0.09067241509592211,0.09590558355204275
lateralorbitofrontal,lh,0.12188877669201374,99.06151574775942,812.7205673584384,192,hc & pd,0.11851745284333824,0.12535770072979183
lateralorbitofrontal,rh,0.26139244716496346,227.1620649801054,869.0460166079114,192,hc & pd,0.25416258880632564,0.2688316107030088
lingual,lh,0.10805326963382185,104.15733953113974,963.9443571130712,192,hc & pd,0.1050646223216552,0.11112843860807771
lingual,rh,0.10880233401858953,104.98300667586696,964.8966414445666,192,hc & pd,0.10579296832124341,0.11189882117751082
medialorbitofrontal,lh,0.23775294780746334,159.3643184454718,670.2937646625014,192,hc & pd,0.23117693478321646,0.2445193371181532
medialorbitofrontal,rh,0.2043421772572716,139.2234516997949,681.3250870108392,192,hc & pd,0.19869027333162614,0.21015770441126677
