region,NAVR,num,anat,n,timepoint,hemisphere,NAVR_CI_low,NAVR_CI_high
BrainSegVolNotVent,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,,0.023620946382623624,0.0249163828673819
WhiteSurfArea,0.04445203013381925,382.4359679032786,8603.34087671555,212,hc_baseline & hc_followup,,0.043281315712032864,0.04565497994095447
bankssts,0.16303956419269283,25.734825731733068,157.84405373727355,212,hc_baseline & hc_followup,,0.15874565976251165,0.1674517004148312
caudalanteriorcingulate,0.1462949719107413,23.27466955954371,159.0941182431358,212,hc_baseline & hc_followup,,0.14244206276496899,0.15025397013230934
caudalmiddlefrontal,0.1317687148460868,47.83599570915412,363.02999361441164,212,hc_baseline & hc_followup,,0.1282983776231034,0.1353346071041765
cuneus,0.11938884680985487,31.110853521262968,260.5842534923869,212,hc_baseline & hc_followup,,0.11624455296455745,0.12261971815165093
eTIV,0.0006702201819290965,111.8856339938664,166938.62257598047,212,hc_baseline & hc_followup,,0.0006525688748820481,0.0006883575141535779
entoinalarea,0.3163846486569551,25.40263741549842,80.2903602413454,212,hc_baseline & hc_followup,,0.30805215923184964,0.3249465714968497
frontalpole,0.38845961142930785,14.97091992484852,38.53919296722805,212,hc_baseline & hc_followup,,0.37822891402330044,0.39897200902379226
fusiform,0.13724010711488546,50.47884563893262,367.8140938543288,212,hc_baseline & hc_followup,,0.13362567213490312,0.14095406483263356
inferiorparietal,0.08352651394142217,61.51641641374251,736.4896906494204,212,hc_baseline & hc_followup,,0.08132671127372873,0.0857868877316412
inferiortemporal,0.1313903050336559,61.46287636075138,467.7885202032794,212,hc_baseline & hc_followup,,0.12792993383074908,0.1349459568593174
insula,0.36062703750770225,91.15295979341617,252.76241189062074,212,hc_baseline & hc_followup,,0.35112935489511077,0.37038623689435946
isthmuscingulate,0.1454483572193784,25.287366910257607,173.85804414495314,212,hc_baseline & hc_followup,,0.14161774500865923,0.1493844445642862
lateraloccipital,0.08573761360333197,58.755167854727084,685.2904505432108,212,hc_baseline & hc_followup,,0.08347957813379771,0.08805782362383888
lateralorbitofrontal,0.27054084481862356,90.94253195445667,336.15083894421383,212,hc_baseline & hc_followup,,0.2634157243740014,0.27786215401680936
lingual,0.11851345781353664,49.220180277902884,415.31300483480567,212,hc_baseline & hc_followup,,0.11539221872005996,0.12172063959557314
medialorbitofrontal,0.25648461252577237,66.54012498445053,259.43125526785497,212,hc_baseline & hc_followup,,0.24972968515920943,0.2634255354542011
middletemporal,0.10931837028321056,49.4809133277121,452.63127505031537,212,hc_baseline & hc_followup,,0.10643929834270607,0.11227671688858812
paracentral,0.1349458420051279,24.515859695976424,181.6718420642025,212,hc_baseline & hc_followup,,0.13139183012040823,0.1385977128898789
parahippocampal,0.25429750328987377,20.817252390679283,81.86180407343478,212,hc_baseline & hc_followup,,0.24760017689939182,0.26117923921096925
parsopercularis,0.12876979325491636,32.38171732376148,251.46982460131554,212,hc_baseline & hc_followup,,0.12537843736857882,0.13225452944119445
parsorbitalis,0.1847094824669585,20.753818873232266,112.35924975830508,212,hc_baseline & hc_followup,,0.17984486651322615,0.1897080446392771
parstriangularis,0.14040503307678753,34.86635853059974,248.3269849132212,212,hc_baseline & hc_followup,,0.1367072447728663,0.14420463923542812
pericalcarine,0.13272444700563263,40.048282090540205,301.74005613932314,212,hc_baseline & hc_followup,,0.1292289390667297,0.13631620305022515
postcentral,0.1435270730388306,71.83388442862115,500.49013686210134,212,hc_baseline & hc_followup,,0.1397470608815116,0.14741116706807916
posteriorcingulate,0.14659296267105165,26.63694794164421,181.70686679834955,212,hc_baseline & hc_followup,,0.1427322054679554,0.15056002504461824
precentral,0.12669234729499732,71.2494120873053,562.3813403772867,212,hc_baseline & hc_followup,,0.12335570422916396,0.1301208641542999
precuneus,0.08467163829954148,45.349109401534406,535.5879526164782,212,hc_baseline & hc_followup,,0.08244167697325015,0.08696300116093675
rostralanteriorcingulate,0.19975395340650096,31.003012459557684,155.20600183800266,212,hc_baseline & hc_followup,,0.1944931175491096,0.20515964531756695
rostralmiddlefrontal,0.1383904905602067,120.22109820173075,868.7092423408142,212,hc_baseline & hc_followup,,0.1347457584152587,0.14213557966924364
superiorfrontal,0.11855209532298883,110.30452240629174,930.4308127644052,212,hc_baseline & hc_followup,,0.11542983864967604,0.12176032270371684
superiorparietal,0.12312501426882043,86.06309877204477,698.989553691682,212,hc_baseline & hc_followup,,0.11988232255253146,0.1264569928471287
superiortemporal,0.10171084071062006,44.78751251424165,440.3415820902284,212,hc_baseline & hc_followup,,0.09903212507685762,0.10446331423878216
supramarginal,0.09552375732771463,60.939774154654685,637.9541159126288,212,hc_baseline & hc_followup,,0.09300798830681456,0.0981087975409125
temporalpole,0.3510719571456172,23.582069813543853,67.1716134927932,212,hc_baseline & hc_followup,,0.3418259226658004,0.3605725793189474
transversetemporal,0.19185445591447092,11.809510846945438,61.554529920379544,212,hc_baseline & hc_followup,,0.18680166580011862,0.19704637358494778
