region,NAVR,num,anat,n,timepoint,hemisphere,NAVR_CI_low,NAVR_CI_high
BrainSegVolNotVent,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,,0.030462835901143615,0.033084224810203365
WhiteSurfArea,0.056768759081834166,435.3774137413548,7669.313558778746,89,pd,,0.05447400667135663,0.05916160559956345
bankssts,0.1867076454105398,26.960800796757134,144.40116117084926,89,pd,,0.17916039889167898,0.19457751514840071
caudalanteriorcingulate,0.16770405006319822,23.29279029047378,138.89223475340063,89,pd,,0.1609249821506055,0.174772903754792
caudalmiddlefrontal,0.13383555155030102,47.0470445331963,351.5287529226795,89,pd,,0.1284255433081811,0.13947682218321844
cuneus,0.14804533275753193,31.562080379643827,213.19199863825548,89,pd,,0.14206092531759534,0.15428555651236633
eTIV,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,,0.0007219111961677709,0.0007840331210306235
entoinalarea,0.3660502412954913,29.022072933760523,79.28439776749846,89,pd,,0.35125346420973835,0.3814795383131562
frontalpole,0.4221090736276876,15.741431934329507,37.292332522124134,89,pd,,0.40504624136117195,0.43990129320881205
fusiform,0.1459498925863898,53.806048825697665,368.66110602890035,89,pd,,0.14005018871337122,0.15210179193889933
inferiorparietal,0.09425299047476207,60.29955007278347,639.7627255013172,89,pd,,0.09044302033299993,0.09822582595136624
inferiortemporal,0.15987347082587014,67.44216415283526,421.8471257579154,89,pd,,0.153410936881448,0.16661225962679344
insula,0.31920263916688446,86.4394936286226,270.7981796586293,89,pd,,0.3062995735105947,0.33265727400361617
isthmuscingulate,0.15090965777435777,26.417111770509507,175.05249273050995,89,pd,,0.1448094662862394,0.1572706150145283
lateraloccipital,0.09012267960957772,55.99465479490602,621.315911127827,89,pd,,0.08647966821356234,0.09392141933121481
lateralorbitofrontal,0.3219064884078162,96.98028352844936,301.2684957303103,89,pd,,0.30889412558414875,0.33547509255346486
lingual,0.12429478873492307,48.243329058193254,388.1363776326878,89,pd,,0.11927044487621553,0.12953390893424815
medialorbitofrontal,0.2887143615401908,67.75124367772888,234.6653048926958,89,pd,,0.27704371754868173,0.30088389220817663
middletemporal,0.14362581563032922,61.085638413604066,425.31099402651336,89,pd,,0.13782005746412745,0.14967975336554804
paracentral,0.14282065285633955,28.180705929584423,197.31534176594778,89,pd,,0.13704744162697985,0.1488406523661839
parahippocampal,0.264672827960161,20.92242472863738,79.0501423583484,89,pd,,0.25397401016366916,0.27582898964072683
parsopercularis,0.19498491566481163,40.612524731689724,208.2854696386083,89,pd,,0.18710307867444195,0.20320367866059433
parsorbitalis,0.219773807538703,22.748856762711654,103.51031825621666,89,pd,,0.2108899340356331,0.22903744124432987
parstriangularis,0.15785246806389144,32.542108350615486,206.1552077693453,89,pd,,0.15147162871760111,0.16450607005609216
pericalcarine,0.1930012848334496,45.47466560354828,235.61846048222233,89,pd,,0.1851996317629927,0.2011364362759052
postcentral,0.14660319885791362,70.66747933899947,482.0323150485257,89,pd,,0.1406770865136583,0.1527826355683311
posteriorcingulate,0.1574943675242702,27.45052814148258,174.29530067005345,89,pd,,0.1511280036058346,0.16413287530544557
precentral,0.11559923306881904,63.42665838549175,548.6771555632407,89,pd,,0.11092638795075634,0.12047182896090389
precuneus,0.13900048476277035,58.83140951082382,423.24607436607386,89,pd,,0.13338169543874964,0.14485946127215313
rostralanteriorcingulate,0.2040961689619047,32.6548393149132,159.99731636809088,89,pd,,0.19584602956711153,0.21269897823730874
rostralmiddlefrontal,0.20084408850037044,140.28698693586531,698.4870104135854,89,pd,,0.19272540731602392,0.20930982010253277
superiorfrontal,0.15814512620216312,140.7668707525649,890.1119758355189,89,pd,,0.15175245679336824,0.16481106395823072
superiorparietal,0.15176284651328556,92.3061076102809,608.2259902933507,89,pd,,0.14562816674416698,0.15815976630990314
superiortemporal,0.12347747976279984,49.1613139393717,398.1399202009189,89,pd,,0.11848617382431849,0.12868214976522993
supramarginal,0.1303243490588933,77.88567192428698,597.6294720573712,89,pd,,0.12505627346619447,0.13581761982726384
temporalpole,0.3578315296412907,26.113726244215357,72.97771180307431,89,pd,,0.34336697592424503,0.3729144016907151
transversetemporal,0.20640561395644472,11.582147693891296,56.11353040201385,89,pd,,0.19806212031974457,0.21510576810079518
