region,hemisphere,NAVR,num,anat,n,timepoint,NAVR_CI_low,NAVR_CI_high
lateralorbitofrontal,lh,0.15305362176306356,47.01594424301621,307.1860940069735,212,hc_baseline & hc_followup,0.14902271289871596,0.15719552088953673
lateralorbitofrontal,rh,0.32995304983756374,119.7104390749292,362.810524509056,212,hc_baseline & hc_followup,0.32126321513722783,0.3388821573827285
lingual,lh,0.1153864013902721,47.54296780911657,412.03267660902003,212,hc_baseline & hc_followup,0.11234751826662255,0.11850895954747205
lingual,rh,0.12146685671690981,50.84209383060287,418.56762581002044,212,hc_baseline & hc_followup,0.11826783519866965,0.1247539626470788
medialorbitofrontal,lh,0.29099570919024587,72.19897211696305,248.11009178750854,212,hc_baseline & hc_followup,0.28333187758567324,0.2988705628514572
medialorbitofrontal,rh,0.2232992064606053,60.35300233746943,270.27862433589513,212,hc_baseline & hc_followup,0.21741826917630344,0.22934207416623273
middletemporal,lh,0.11625681796528087,54.21364566146711,466.3265915093046,212,hc_baseline & hc_followup,0.11319501104637929,0.11940293111980899
middletemporal,rh,0.10089839644214751,44.244798469221244,438.5084404645623,212,hc_baseline & hc_followup,0.09824107781138212,0.10362888380515305
paracentral,lh,0.14339304567211542,22.858542879708107,159.4117955481382,212,hc_baseline & hc_followup,0.13961656333718372,0.14727351268602956
paracentral,rh,0.1293778889192842,26.06802199404757,201.48745826507334,212,hc_baseline & hc_followup,0.12597051787318997,0.13287908123951092
parahippocampal,lh,0.22774451102964224,19.486924647583812,85.56484878376489,212,hc_baseline & hc_followup,0.22174649962853318,0.2339076764642571
parahippocampal,rh,0.2829782660789025,22.06752731897879,77.98311730705753,212,hc_baseline & hc_followup,0.27552558650153863,0.29063615368444723
parsopercularis,lh,0.09231535132870554,25.958940169930063,281.1985200326926,212,hc_baseline & hc_followup,0.08988408074719459,0.09481356645503784
parsopercularis,rh,0.17328049062888112,37.72644508731216,217.71894199048504,212,hc_baseline & hc_followup,0.168716875226328,0.1779697642605869
parsorbitalis,lh,0.1824514787356527,18.32703793042777,100.44883197127247,212,hc_baseline & hc_followup,0.17764633087650972,0.1873889353713983
parsorbitalis,rh,0.18619722912007747,22.92513198091835,123.12284178049757,212,hc_baseline & hc_followup,0.18129343100846554,0.19123605232308571
parstriangularis,lh,0.11470030430790112,25.430724648903738,221.7145351300689,212,hc_baseline & hc_followup,0.11167949063454798,0.11780429547613724
parstriangularis,rh,0.1551105891485452,42.24457548846112,272.3513315264675,212,hc_baseline & hc_followup,0.15102550679929538,0.15930815341589494
pericalcarine,lh,0.12763159948397168,37.74234473846371,295.7131689257212,212,hc_baseline & hc_followup,0.1242702197282725,0.13108553415290358
pericalcarine,rh,0.1372619513967146,42.22848813834006,307.6488983920333,212,hc_baseline & hc_followup,0.1336469411130691,0.1409765002589961
postcentral,lh,0.11653658599410899,59.10289949395175,507.16175516708074,212,hc_baseline & hc_followup,0.11346741094229834,0.11969027016159892
postcentral,rh,0.16735119197578077,82.6260320699042,493.72837500829945,212,hc_baseline & hc_followup,0.16294373401808152,0.17188000839890188
posteriorcingulate,lh,0.1498879531545752,25.326260057024847,168.9679492180842,212,hc_baseline & hc_followup,0.1459404171729373,0.15394418374283828
posteriorcingulate,rh,0.1440327703375015,27.886099455027317,193.60940839840717,212,hc_baseline & hc_followup,0.140239439843116,0.14793054942154
precentral,lh,0.09796493140709644,52.72712767393181,538.2245147993063,212,hc_baseline & hc_followup,0.0953848702111884,0.1006160340673667
precentral,rh,0.14664190338139357,85.86505373450942,585.5424115110352,212,hc_baseline & hc_followup,0.14277985724739278,0.15061029017631705
precuneus,lh,0.08547753384795677,45.439845241360366,531.5998625110842,212,hc_baseline & hc_followup,0.08322634798955424,0.08779070565467172
precuneus,rh,0.08388190113517732,45.258191650417196,539.5465653250126,212,hc_baseline & hc_followup,0.0816727387844324,0.08615189232543183
rostralanteriorcingulate,lh,0.20888101516955637,37.671678813339135,180.34994124650177,212,hc_baseline & hc_followup,0.20337980372521483,0.21453370136085043
rostralanteriorcingulate,rh,0.1793070385961407,22.43252501435346,125.10677321975626,212,hc_baseline & hc_followup,0.17458470453444833,0.18415940117323507
rostralmiddlefrontal,lh,0.11269458284443741,90.53246180270398,803.343510554311,212,hc_baseline & hc_followup,0.10972659301369156,0.11574429567622012
rostralmiddlefrontal,rh,0.1548269645969839,143.9100353193005,929.4894832686266,212,hc_baseline & hc_followup,0.1507493519482604,0.15901685348711075
superiorfrontal,lh,0.09446996027288106,84.0859143625999,890.0809751556332,212,hc_baseline & hc_followup,0.09198194466180312,0.09702648289171809
superiorfrontal,rh,0.13558069126263791,131.39153067213178,969.1020856178468,212,hc_baseline & hc_followup,0.13200995962003115,0.13924974228043532
superiorparietal,lh,0.0989506944161584,74.63318959980438,754.246243951745,212,hc_baseline & hc_followup,0.09634467159447763,0.10162847355032788
superiorparietal,rh,0.150466102425528,96.14364747945191,638.9721401007077,212,hc_baseline & hc_followup,0.1465033399697018,0.15453797874587336
superiortemporal,lh,0.10186987948681081,48.24873228291664,473.6309940286466,212,hc_baseline & hc_followup,0.09918697531568911,0.10462665688286309
superiortemporal,rh,0.10149219644283497,41.035379704812556,404.3205403277044,212,hc_baseline & hc_followup,0.09881923915119473,0.1042387530740866
supramarginal,lh,0.07477494407557594,52.57326596883533,703.0866638388775,212,hc_baseline & hc_followup,0.07280562782266208,0.07679848505409756
supramarginal,rh,0.1207866830841351,68.28882670987062,565.367182591672,212,hc_baseline & hc_followup,0.11760557501279065,0.12405538232426314
temporalpole,lh,0.3649399714372745,24.752317332982887,67.8257227770877,212,hc_baseline & hc_followup,0.35532870089773433,0.37481588637152646
temporalpole,rh,0.33604380449574955,22.350633548716857,66.51107162131763,212,hc_baseline & hc_followup,0.32719356015165985,0.34513773853183755
transversetemporal,lh,0.17804650824556503,13.195986932304901,74.11539300790304,212,hc_baseline & hc_followup,0.17335737224155587,0.18286475866315738
transversetemporal,rh,0.2241997502291728,10.236943966374055,45.65992582913247,212,hc_baseline & hc_followup,0.2182950957023932,0.23026698822676334
