Paper,Region,Method,Mean_pval,Std_pval,P_cross
Liu_2012,isthmuscingulate,exact,0.157,0.05077008556632375,0.00334383227247284
Liu_2012,caudalanteriorcingulate,exact,0.266,0.08069020834390851,8.89804084360505e-05
Liu_2012,rostralanteriorcingulate,exact,0.489,0.14255936189572793,1.5771881666084225e-05
Liu_2012,posteriorcingulate,exact,0.088,0.03371523261062301,0.11613042712395738
Liu_2012,Hippocampus,exact,0.4,0.05938605411482894,4.335414769170512e-18
Liu_2012,Amygdala,exact,0.727,0.11884207759780836,5.559006078447044e-11
Liu_2012,Caudate,exact,0.355,0.03819016920216349,2.997644100788324e-32
Liu_2012,Accumbensarea,exact,0.685,0.10646987841842577,3.220225297662895e-13
Liu_2012,Putamen,exact,0.705,0.0894714274195887,1.7434989818666532e-18
Liu_2012,Pallidum,exact,0.31,0.11794422111424052,0.0012393062602108654
Liu_2012,Brain-Stem,exact,0.601,0.037087005312993616,9.62335253390045e-89
Liu_2012,CortexVol,exact,0.568,0.022731476076115555,1.734230801972424e-216
Liu_2012,CerebellumCortex,exact,0.066,0.034191077663518976,0.36855047166298427
Liu_2012,Thalamus,exact,0.235,0.01876366415480815,6.116210850416134e-46
Liu_2012,CC_Anterior,exact,0.066,0.08375313701021886,0.5942226511215921
Liu_2012,CC_Central,exact,0.866,0.13228632570713325,2.493314141211325e-07
Liu_2012,CC_Mid_Anterior,exact,0.069,0.03527191024559886,0.3367804576044357
Liu_2012,CC_Mid_Posterior,exact,0.298,0.133675806978673,0.0067874683089906365
Liu_2012,CC_Posterior,exact,0.908,0.14735352603720697,6.153954863179141e-05
Liu_2012,entoinalthickness,MCI,0.367,0.13794778628555762,0.0008390345844036819
Liu_2012,parahippocampal,MCI,0.723,0.08851417857881741,5.754782879222846e-19
Liu_2012,middletemporal,MCI,0.084,0.02007518920687111,0.029370249357235898
Liu_2012,superiortemporal,MCI,0.184,0.028812038835696056,7.803003279978641e-11
Liu_2012,inferiortemporal,MCI,0.402,0.07960917206665188,8.987237429211636e-11
Liu_2012,temporalpole,MCI,0.625,0.18773838335807078,0.00012678553251064894
Liu_2012,transversetemporal,MCI,0.07,0.022538865865050557,0.19097481785726397
Liu_2012,insula,MCI,0.517,0.15597314919284527,3.822361410470474e-05
Liu_2012,fusiform,MCI,1.0,0.13145634129024433,
Liu_2012,medialorbitofrontal,MCI,0.561,0.13698482743158277,4.7238573042466116e-07
Liu_2012,lateralorbitofrontal,MCI,0.771,0.15976790895172477,2.3129120866106433e-06
Liu_2012,parsorbitalis,MCI,0.184,0.0626774640971387,0.0023880090859879836
Liu_2012,parsopercularis,MCI,0.22,0.04849075477970428,4.6349812555242665e-07
Liu_2012,superiorfrontal,MCI,0.45,0.05738522725270887,3.9310487049419615e-24
Liu_2012,parstriangularis,MCI,0.453,0.09466442165408245,8.145736655905698e-10
Liu_2012,frontalpole,MCI,0.753,0.1974734455438922,0.00017918415835190804
Liu_2012,rostralmiddlefrontal,MCI,0.117,0.0315889047676248,0.004853509484151597
Liu_2012,caudalmiddlefrontal,MCI,0.286,0.05762468265788029,1.726042668511929e-09
Liu_2012,precentral,MCI,0.186,0.04761419969364924,5.5334078893616936e-05
Liu_2012,superiorparietal,MCI,0.704,0.062166548394688076,5.252076048233829e-37
Liu_2012,postcentral,MCI,0.041,0.01361075769651404,0.23492553324105914
Liu_2012,paracentral,MCI,0.75,0.11263072719787633,4.4740383682203405e-12
Liu_2012,inferiorparietal,MCI,0.423,0.06543884059032011,7.498349748375433e-17
Liu_2012,supramarginal,MCI,0.28,0.04882497692804962,4.5841082207797465e-12
Liu_2012,pericalcarine,MCI,0.056,0.024427431495859273,0.45507135752150374
Liu_2012,precuneus,MCI,0.399,0.05656591731622149,1.0822421893741363e-19
Liu_2012,lingual,MCI,0.896,0.1524208125477351,5.383921448778435e-05
Liu_2012,cuneus,MCI,0.386,0.08492432252141009,6.213003493705531e-09
Liu_2012,lateraloccipital,MCI,0.501,0.07018664562331557,6.149049866313487e-20
Liu_2012,isthmuscingulate,MCI,0.258,0.07167201362443755,2.2313644472136862e-05
Liu_2012,caudalanteriorcingulate,MCI,0.477,0.11613884276763156,1.709833782386572e-07
Liu_2012,rostralanteriorcingulate,MCI,0.532,0.15019449817666713,1.1425352315031165e-05
Liu_2012,posteriorcingulate,MCI,0.13,0.04453816032258156,0.0139679652774881
Liu_2012,Hippocampus,MCI,0.727,0.08033792335945139,8.506143996041463e-23
Liu_2012,Amygdala,MCI,0.355,0.05987972089675945,5.1778397713838945e-14
Liu_2012,Caudate,MCI,0.685,0.0488708444296461,2.5796433867964026e-58
Liu_2012,Accumbensarea,MCI,0.705,0.1512593188458456,4.2205779497040854e-07
Liu_2012,Putamen,MCI,0.31,0.09032345311816256,2.2728854810238554e-05
Liu_2012,Pallidum,MCI,0.601,0.07317666582428263,7.779622797066237e-24
Liu_2012,Brain-Stem,MCI,0.568,0.05456129689392537,7.102066196571591e-39
Liu_2012,CortexVol,MCI,0.066,0.021802457102624618,0.24543177293903498
Liu_2012,CerebellumCortex,MCI,0.235,0.006217615100114465,0.0
Liu_2012,Thalamus,MCI,0.066,0.04760349212913517,0.45181012321431724
Liu_2012,CC_Anterior,MCI,0.235,0.10515603207011164,0.010466211846910004
Liu_2012,CC_Central,MCI,0.733,0.1861347797920317,5.629762315045809e-05
Liu_2012,CC_Mid_Anterior,MCI,0.14,0.05811723619048926,0.03030243711466312
Liu_2012,CC_Mid_Posterior,MCI,0.866,0.22620577828160762,0.006035349415775525
Liu_2012,CC_Posterior,MCI,0.643,0.22714113435742916,0.0018065400456807191
Liu_2012,entoinalthickness,exact,0.367,0.13886796729989917,0.0009117020108260925
Liu_2012,parahippocampal,exact,0.723,0.08781811549490615,2.9899058368609046e-19
Liu_2012,middletemporal,exact,0.084,0.02057311693741133,0.03286155949310523
Liu_2012,superiortemporal,exact,0.184,0.029016566177367958,1.0541043603735418e-10
Liu_2012,inferiortemporal,exact,0.402,0.07967594600932537,9.321290698126633e-11
Liu_2012,temporalpole,exact,0.625,0.17300172573954237,2.7264887655049797e-05
Liu_2012,transversetemporal,exact,0.07,0.02362966563063694,0.20506475341058372
Liu_2012,insula,exact,0.517,0.15306185439120307,2.6497759721289555e-05
Liu_2012,fusiform,exact,1.0,0.07665637115002655,
Liu_2012,medialorbitofrontal,exact,0.561,0.13507494280474386,3.183912175262492e-07
Liu_2012,lateralorbitofrontal,exact,0.771,0.1383096626850919,3.2381354881794125e-08
Liu_2012,parsorbitalis,exact,0.184,0.06466735237075368,0.003211838933277032
Liu_2012,parsopercularis,exact,0.22,0.04906686233445534,6.286107446097082e-07
Liu_2012,superiorfrontal,exact,0.45,0.057364160735852154,3.783104118714752e-24
Liu_2012,parstriangularis,exact,0.453,0.09450847656313387,7.631211924839933e-10
Liu_2012,frontalpole,exact,0.753,0.15876022342576024,1.6617002695905735e-06
Liu_2012,rostralmiddlefrontal,exact,0.117,0.03244888284137486,0.006001396707997683
Liu_2012,caudalmiddlefrontal,exact,0.286,0.05800637140123361,2.203763204717422e-09
Liu_2012,precentral,exact,0.186,0.04851020287963442,7.52501176926962e-05
Liu_2012,superiorparietal,exact,0.704,0.062001843437691745,3.3901751338853436e-37
Liu_2012,postcentral,exact,0.041,0.014409071668298438,0.24369960909641075
Liu_2012,paracentral,exact,0.75,0.10897144441488071,7.803590178478075e-13
Liu_2012,inferiorparietal,exact,0.423,0.06544533244831717,7.551467064633067e-17
Liu_2012,supramarginal,exact,0.28,0.04907796902822385,5.892045839101623e-12
Liu_2012,pericalcarine,exact,0.056,0.026721856860531416,0.46914863890048975
Liu_2012,precuneus,exact,0.399,0.05660524448178998,1.1472288278059248e-19
Liu_2012,lingual,exact,0.896,0.10539007981036799,1.3022936779612251e-09
Liu_2012,cuneus,exact,0.386,0.08509045314263454,6.654956046477441e-09
Liu_2012,lateraloccipital,exact,0.501,0.07006593801226728,5.3054625946320366e-20
Liu_2012,isthmuscingulate,exact,0.258,0.07272272414060876,2.9247431777205556e-05
Liu_2012,caudalanteriorcingulate,exact,0.477,0.11567805390064351,1.5214348484632358e-07
Liu_2012,rostralanteriorcingulate,exact,0.532,0.14756112668721116,7.76479980657144e-06
Liu_2012,posteriorcingulate,exact,0.13,0.04635359170722786,0.017807274248107956
Liu_2012,Hippocampus,exact,0.727,0.07992587908371304,5.079521327165567e-23
Liu_2012,Amygdala,exact,0.355,0.06094321949488566,1.4117362729180308e-13
Liu_2012,Caudate,exact,0.685,0.048982251001356274,4.6794374915609634e-58
Liu_2012,Accumbensarea,exact,0.705,0.14307481455378154,7.842354360208614e-08
Liu_2012,Putamen,exact,0.31,0.08971025177499649,1.9944119011137927e-05
Liu_2012,Pallidum,exact,0.601,0.07388266331321887,2.0888732170136028e-23
Liu_2012,Brain-Stem,exact,0.568,0.054473467985922626,5.377155263618342e-39
Liu_2012,CortexVol,exact,0.066,0.021799691741280727,0.24539546219682026
Liu_2012,CerebellumCortex,exact,0.235,0.006251745480532816,0.0
Liu_2012,Thalamus,exact,0.066,0.04814937367070425,0.4546185010979481
Liu_2012,CC_Anterior,exact,0.235,0.10609240736546799,0.011166006241586663
Liu_2012,CC_Central,exact,0.733,0.15947849060616603,1.7163399363958039e-06
Liu_2012,CC_Mid_Anterior,exact,0.14,0.06147360620600879,0.039639383630089356
Liu_2012,CC_Mid_Posterior,exact,0.866,0.1492654357633257,6.433301715676167e-06
Liu_2012,CC_Posterior,exact,0.643,0.19278387266167205,0.00016331667599043208
Liu_2012,entoinalthickness,AD,0.054,0.03097964261572677,0.5216069011910603
Liu_2012,parahippocampal,AD,0.307,0.054662815331260224,4.015709324421743e-12
Liu_2012,middletemporal*,AD,0.002,0.0006864452500474917,0.0
Liu_2012,superiortemporal*,AD,0.005,0.0010825467286542227,0.0
Liu_2012,inferiortemporal*,AD,0.01,0.003767835141922736,1.1803483745964627e-09
Liu_2012,temporalpole,AD,0.041,0.02430616349705669,0.2971763392508303
Liu_2012,transversetemporal,AD,0.094,0.029116023353621553,0.04424345404185195
Liu_2012,insula,AD,0.11,0.051677082218986294,0.10133427783606375
Liu_2012,fusiform*,AD,0.014,0.0057969677307782835,2.5887913039701616e-05
Liu_2012,medialorbitofrontal,AD,0.077,0.032138995321525775,0.20830707464958786
Liu_2012,lateralorbitofrontal,AD,0.122,0.04844660652580291,0.04011169049172989
Liu_2012,parsorbitalis,AD,0.076,0.0300724113081057,0.1991957890671635
Liu_2012,parsopercularis,AD,0.05,0.01425574984052187,0.5360305543010916
Liu_2012,superiorfrontal,AD,0.025,0.005688909666826547,0.00020259837659453162
Liu_2012,parstriangularis,AD,0.243,0.062487866765708056,7.0965198810087805e-06
Liu_2012,frontalpole,AD,0.644,0.1860568030313507,8.651537823784517e-05
Liu_2012,rostralmiddlefrontal,AD,0.034,0.010899330028124207,0.08238914127147334
Liu_2012,caudalmiddlefrontal*,AD,0.012,0.0037603121324056156,5.150792015129468e-10
