hemisphere,region,F,pval
lh,bankssts,0.024903749113687847,0.8747774093449004
lh,caudalanteriorcingulate,0.10084561430104338,0.7511715205802962
lh,caudalmiddlefrontal,0.16503926900979582,0.6850232485447065
lh,cuneus,0.31277390309124636,0.5766521564687581
lh,entorhinal,0.2567252367507298,0.6129758419866365
lh,fusiform,2.28525284660697,0.13229691706715124
lh,inferiorparietal,0.015196506616911049,0.902022433374542
lh,inferiortemporal,0.06199849355221028,0.8036379397629394
lh,isthmuscingulate,0.5552709004283876,0.4571075004614549
lh,lateraloccipital,1.4567155719711158,0.22897795201565527
lh,lateralorbitofrontal,0.043861495109031125,0.8343394928957718
lh,lingual,0.02284972306272685,0.880011459776138
lh,medialorbitofrontal,0.0011792977608887066,0.9726419345821496
lh,middletemporal,1.5772061306229462e-05,0.9968355186720874
lh,parahippocampal,3.5976853517076637,0.05940155904655539
lh,paracentral,0.016766064304600016,0.8971139804650665
lh,parsopercularis,4.474629931244297,0.03572571823437107
lh,parsorbitalis,0.0048891452217438855,0.944330122704984
lh,parstriangularis,1.3213736927720925,0.2518137167567929
lh,pericalcarine,0.09405195562633573,0.7594289929481463
lh,postcentral,0.34025677750102157,0.5603838769852489
lh,posteriorcingulate,0.2544091811790475,0.6145812033594424
lh,precentral,0.5416403741144556,0.46267584860059885
lh,precuneus,0.005780192915426263,0.939478432385104
lh,rostralanteriorcingulate,2.5733338261508045,0.11036605344178022
lh,rostralmiddlefrontal,0.7728812880214297,0.38045545653228696
lh,superiorfrontal,1.611175809113099,0.2059040811483605
lh,superiorparietal,0.13062674840098365,0.7181911105646999
lh,superiortemporal,0.8894057697986785,0.3468552022079414
lh,supramarginal,0.008441100567229316,0.9268953343656265
lh,frontalpole,0.15881927718127756,0.6907005732867109
lh,temporalpole,0.471896712003588,0.49296689008520234
lh,transversetemporal,0.016290204247105266,0.898576494699969
lh,insula,0.19164444039218512,0.6620566883684517
lh,MeanThickness,0.11847213327733565,0.7310842735568468
lh,BrainSegVolNotVent,0.4356200829843908,0.510056176064013
lh,eTIV,2.235830516110362,0.13652980969403355
rh,bankssts,0.10231598780291111,0.7494249568705962
rh,caudalanteriorcingulate,1.5267399642499644,0.2181523724314127
rh,caudalmiddlefrontal,0.5181536083692464,0.472529068925135
rh,cuneus,0.11837290118208522,0.7311925215950097
rh,entorhinal,0.6125044760416961,0.4348363263639653
rh,fusiform,1.3795180780320675,0.24167676242117284
rh,inferiorparietal,0.11443427495130698,0.7355306648294517
rh,inferiortemporal,0.11327972770602247,0.7368180675584437
rh,isthmuscingulate,0.8838330664652055,0.3483667735588112
rh,lateraloccipital,0.021208862291133942,0.8843682683607695
rh,lateralorbitofrontal,0.0035908001729586824,0.9522807247504582
rh,lingual,0.45275652384456166,0.5018594767328246
rh,medialorbitofrontal,0.3374582693972826,0.5619995003156724
rh,middletemporal,0.044183292070598935,0.8337418166557803
rh,parahippocampal,0.08064451267258549,0.7767400656606317
rh,paracentral,0.49887484174214974,0.48087399923985696
rh,parsopercularis,0.03379977193912351,0.8543325733881935
rh,parsorbitalis,3.0552580156026243,0.08211747489431918
rh,parstriangularis,0.01713064522527019,0.8960076976246688
rh,pericalcarine,0.08516824280347744,0.7707355250863537
rh,postcentral,0.0011769153309087567,0.9726695721732895
rh,posteriorcingulate,0.34061182393027645,0.5601795405303551
rh,precentral,1.8506228889468386,0.1753485139317252
rh,precuneus,0.009404309093743051,0.9228494549095795
rh,rostralanteriorcingulate,1.4573926424833454,0.22887021346673234
rh,rostralmiddlefrontal,0.5507845991765408,0.4589284306018435
rh,superiorfrontal,0.0019400213063029159,0.9649149943423163
rh,superiorparietal,0.06952507803496395,0.7923198568193677
rh,superiortemporal,0.140981885478156,0.7077323871053156
rh,supramarginal,3.210022953647856,0.074805435848324
rh,frontalpole,0.03244043375100281,0.8572594523520884
rh,temporalpole,0.14191589126111956,0.7068108515564051
rh,transversetemporal,0.00022137949250423294,0.9881447138494253
rh,insula,0.2799788423635536,0.5973426172826005
rh,MeanThickness,0.05540844802141895,0.8141636328748856
rh,BrainSegVolNotVent,0.4356200829843908,0.510056176064013
rh,eTIV,2.235830516110362,0.13652980969403355
