hemisphere,region,F,pval
lh,bankssts,1.4838399877616244,0.22463157214574173
lh,caudalanteriorcingulate,2.301035479449774,0.13089081364586197
lh,caudalmiddlefrontal,3.339421939784995,0.06915130233470855
lh,cuneus,2.0842160850020774,0.15041697056882028
lh,entorhinal,0.44225098591838974,0.5068157672787683
lh,fusiform,2.9074300615395186,0.08974858877711671
lh,inferiorparietal,2.2816141730863126,0.13251787361343934
lh,inferiortemporal,2.1443069651720608,0.14469358758080372
lh,isthmuscingulate,1.4185408189936062,0.23507677930691528
lh,lateraloccipital,1.9248221568845791,0.1668935091608496
lh,lateralorbitofrontal,2.2522599366945553,0.13502044616555817
lh,lingual,2.780918189674356,0.09698227865104016
lh,medialorbitofrontal,1.0376058275739586,0.309628281072806
lh,middletemporal,2.6296807622183653,0.10648216853488482
lh,parahippocampal,0.14483130342511216,0.70393455076742
lh,paracentral,0.027125244845938434,0.8693510060878512
lh,parsopercularis,8.874934978811888,0.003254659791530034
lh,parsorbitalis,1.156541953251313,0.28349920074694573
lh,parstriangularis,9.108959448168077,0.0028797135360904337
lh,pericalcarine,5.4172879640049025,0.020953867105773263
lh,postcentral,2.1609433932418582,0.14315303367158597
lh,posteriorcingulate,9.480505148960553,0.002372938762971086
lh,precentral,0.1686071586215271,0.6817989096290316
lh,precuneus,2.526005357699177,0.11358694485564068
lh,rostralanteriorcingulate,2.4759621587220693,0.117203303826244
lh,rostralmiddlefrontal,5.23276755059078,0.023227442979135107
lh,superiorfrontal,1.3294794163031252,0.25029495851661065
lh,superiorparietal,0.6425131105097182,0.4237680056228099
lh,superiortemporal,4.70788577098223,0.031221503901660824
lh,supramarginal,1.6520954728449004,0.20018296345799025
lh,frontalpole,0.7438836242602426,0.38946836317953815
lh,temporalpole,0.13380908804015956,0.714907375797417
lh,transversetemporal,5.214334128370123,0.023468322100156837
lh,insula,3.388177660366556,0.06716959762545238
lh,WhiteSurfArea,5.981312842602632,0.0153363753645042
lh,BrainSegVolNotVent,13.255699860406729,0.00034728111639560947
lh,eTIV,5.766296251661603,0.017265876566217538
rh,bankssts,5.948077768615543,0.015619315846456714
rh,caudalanteriorcingulate,19.466272476655053,1.6841100489421204e-05
rh,caudalmiddlefrontal,0.7628529827040891,0.383500569316936
rh,cuneus,1.049449720679145,0.3068901346539122
rh,entorhinal,0.027533712013502857,0.8683799612773533
rh,fusiform,1.2430375563471803,0.26624471217525175
rh,inferiorparietal,1.7891982161227387,0.18256606783469428
rh,inferiortemporal,1.04786085949482,0.30725561755785596
rh,isthmuscingulate,0.005609530596605828,0.9403728222854969
rh,lateraloccipital,2.261478181169384,0.1342288668795345
rh,lateralorbitofrontal,5.236695471961151,0.023176449755479382
rh,lingual,2.007265624638856,0.15812666652457977
rh,medialorbitofrontal,3.7269529893935007,0.054976690790873146
rh,middletemporal,4.877651113797119,0.028359869976549285
rh,parahippocampal,0.5181563006436283,0.4724823455387184
rh,paracentral,0.48209881115407444,0.4882911813955998
rh,parsopercularis,6.18874525515995,0.013686646363087746
rh,parsorbitalis,6.790274433483263,0.009865645574806573
rh,parstriangularis,9.90821540780017,0.0019010625557309118
rh,pericalcarine,4.107778171068436,0.044034208802196204
rh,postcentral,0.00017982782835561666,0.98931426754568
rh,posteriorcingulate,7.3923724706751885,0.007134822103462232
rh,precentral,0.010995207494770476,0.9165951421724534
rh,precuneus,2.0683137473899174,0.1519744023784481
rh,rostralanteriorcingulate,7.167580229441246,0.008049289612849052
rh,rostralmiddlefrontal,14.455424359801595,0.0001913153348622856
rh,superiorfrontal,2.55855624670937,0.11130124665084887
rh,superiorparietal,0.2330142474437997,0.6298337271187167
rh,superiortemporal,5.146500644241896,0.024377476500941145
rh,supramarginal,1.0379076799754934,0.30955810156025715
rh,frontalpole,3.26357051152099,0.07236079933739138
rh,temporalpole,1.9592595731356823,0.16316528928986718
rh,transversetemporal,5.783672980760997,0.017100951562381596
rh,insula,4.5425006334695475,0.03430258004164119
rh,WhiteSurfArea,6.2061615508429195,0.01355679141195697
rh,BrainSegVolNotVent,13.255699860406729,0.00034728111639560947
rh,eTIV,5.766296251661603,0.017265876566217538
