hemisphere,region,F,pval
lh,bankssts,0.22680532060156233,0.6344305726234991
lh,caudalanteriorcingulate,0.6110630268734062,0.43532631642835606
lh,caudalmiddlefrontal,0.08331511605624568,0.7731576319047668
lh,cuneus,0.003336994845039756,0.9539929924430662
lh,entorhinal,6.365979662439892,0.012423210616813314
lh,fusiform,2.0167411851319508,0.15715333880880955
lh,inferiorparietal,0.6267632659898253,0.42949726251458653
lh,inferiortemporal,1.4473233864368273,0.23040173971680195
lh,isthmuscingulate,0.0024802378485273982,0.9603306405600996
lh,lateraloccipital,1.006325685448479,0.3170152852017604
lh,lateralorbitofrontal,6.4659337577913165,0.01176460000766422
lh,lingual,0.009229542114818527,0.9235622343881768
lh,medialorbitofrontal,0.024030942594617872,0.8769649185493209
lh,middletemporal,0.4839546678511753,0.48745629622744857
lh,parahippocampal,0.21130300950302255,0.6462549096065977
lh,paracentral,9.567284219096123,0.002268345841223704
lh,parsopercularis,0.05991632741077273,0.806883012737938
lh,parsorbitalis,4.199887560482805,0.04175200599569695
lh,parstriangularis,1.1039147445145618,0.2946957327313587
lh,pericalcarine,0.16952155451368192,0.6809849830553003
lh,postcentral,0.9236571487597292,0.3376946754172785
lh,posteriorcingulate,0.007396042546656818,0.931553563763658
lh,precentral,5.138073244289104,0.024492973563801482
lh,precuneus,1.4070561836755902,0.23697434219865993
lh,rostralanteriorcingulate,0.053809579273694876,0.8168029414647493
lh,rostralmiddlefrontal,2.107545521658174,0.14816492299930759
lh,superiorfrontal,0.8857182409714973,0.3477928672177105
lh,superiorparietal,0.42159490237721114,0.5168985861896837
lh,superiortemporal,0.6883274067900583,0.40773807647970284
lh,supramarginal,0.6533398444897818,0.4198961255034651
lh,frontalpole,2.795468194864468,0.09611868999499061
lh,temporalpole,0.838156729705663,0.361043757338098
lh,transversetemporal,0.5109827597017522,0.47555997357966995
lh,insula,3.1392537476383735,0.07797464486240453
lh,MeanThickness,1.3401363597006783,0.24841154490510162
lh,BrainSegVolNotVent,13.255699860406729,0.00034728111639560947
lh,eTIV,5.766296251661603,0.017265876566217538
rh,bankssts,0.007929462252318616,0.9291345999709265
rh,caudalanteriorcingulate,0.04982192714765527,0.8236047014423791
rh,caudalmiddlefrontal,0.01865801533898637,0.8914909357154726
rh,cuneus,0.42643535569733604,0.5145046364714887
rh,entorhinal,6.292855516345393,0.012929157855437067
rh,fusiform,1.4171784371427136,0.23530091049700416
rh,inferiorparietal,0.07486291198735247,0.7846703234234181
rh,inferiortemporal,0.0010525624212659114,0.9741514437548148
rh,isthmuscingulate,0.14389917597320034,0.704843641925881
rh,lateraloccipital,0.0130504304561461,0.909165092332258
rh,lateralorbitofrontal,0.3464600391487343,0.5567981499150216
rh,lingual,0.00361691964977107,0.9521044357361254
rh,medialorbitofrontal,1.4780644426080654,0.22553246615642125
rh,middletemporal,0.29848655940231794,0.5854509875016599
rh,parahippocampal,5.163311169401904,0.024148788246826033
rh,paracentral,3.0954039354255602,0.08006597948633715
rh,parsopercularis,1.3363589020521558,0.24907713407296384
rh,parsorbitalis,3.5405503548931274,0.06136035530400371
rh,parstriangularis,0.42113647307271723,0.5171263250260058
rh,pericalcarine,0.07186899932269983,0.7889152034889196
rh,postcentral,2.2416567935845255,0.1359374588864057
rh,posteriorcingulate,0.06846355845679268,0.7938604797296436
rh,precentral,1.7677866396124402,0.18519375989203968
rh,precuneus,0.8394087390855107,0.36068610050456806
rh,rostralanteriorcingulate,0.007308893200999539,0.9319570268156658
rh,rostralmiddlefrontal,1.8589411076891469,0.1743031480197201
rh,superiorfrontal,1.309972103817325,0.2537883946871417
rh,superiorparietal,0.1360344704947404,0.7126516304088292
rh,superiortemporal,1.3581204022006035,0.24527260707928267
rh,supramarginal,0.004344558266392312,0.9475137227809319
rh,frontalpole,0.6208225727298714,0.4316888072406896
rh,temporalpole,0.00867586623969706,0.9258835584734655
rh,transversetemporal,0.2183970262031715,0.6407805258330095
rh,insula,1.536040888756801,0.216682532458464
rh,MeanThickness,0.9335711830504722,0.33512131131737166
rh,BrainSegVolNotVent,13.255699860406729,0.00034728111639560947
rh,eTIV,5.766296251661603,0.017265876566217538
