hemisphere,region,F,pval
lh,bankssts,1.163017971626599,0.282229632387807
lh,caudalanteriorcingulate,0.10941088606293793,0.7411861592549777
lh,caudalmiddlefrontal,0.4727352697865458,0.49258338986976047
lh,cuneus,0.10219308125750112,0.7495704177729764
lh,entorhinal,0.022416216076034366,0.8811465207148902
lh,fusiform,1.6701044635632907,0.19783919723203847
lh,inferiorparietal,4.134081947514653,0.043441225605614905
lh,inferiortemporal,2.2325097596161565,0.13681965139530183
lh,isthmuscingulate,0.052572103624328785,0.8188971578877282
lh,lateraloccipital,0.013504979086609317,0.9076100834884604
lh,lateralorbitofrontal,0.017844846491901083,0.8938747090763955
lh,lingual,0.5874792398075227,0.44436203534431373
lh,medialorbitofrontal,0.16773832362054744,0.6825984527788775
lh,middletemporal,2.0844070765047364,0.15048321357025565
lh,parahippocampal,0.04609187178484246,0.8302428249526693
lh,paracentral,0.8158611864404247,0.36755510033843175
lh,parsopercularis,0.16910687710163572,0.6813776640071263
lh,parsorbitalis,1.6553933727300023,0.19981696992720724
lh,parstriangularis,0.5228621468453714,0.4705267644850435
lh,pericalcarine,2.3248502682475034,0.12901190361437653
lh,postcentral,0.06362853877832123,0.8011272001154952
lh,posteriorcingulate,0.12832869032808084,0.7205753030258649
lh,precentral,0.44106651128596086,0.507426181526005
lh,precuneus,0.06536248124168385,0.7984937071484925
lh,rostralanteriorcingulate,0.1975441773549388,0.6572244114967314
lh,rostralmiddlefrontal,0.4876599952677208,0.4858404806320069
lh,superiorfrontal,1.5186555596363318,0.21937023985894172
lh,superiorparietal,0.14656336270765405,0.7022762111313701
lh,superiortemporal,3.9669859610731644,0.047856141024440566
lh,supramarginal,7.35198523501969e-05,0.9931678653065623
lh,frontalpole,0.7466203253814564,0.38865534821189074
lh,temporalpole,0.7597014393679602,0.384539625703223
lh,transversetemporal,0.3935517230935546,0.5312035835046593
lh,insula,0.01835592735650725,0.8923749039637852
lh,BrainSegVolNotVent,0.4356200829843908,0.510056176064013
lh,eTIV,2.235830516110362,0.13652980969403355
rh,bankssts,1.5313473782704097,0.2174619239981058
rh,caudalanteriorcingulate,0.04889696081584256,0.8252351443896482
rh,caudalmiddlefrontal,0.0029874883945600634,0.9564693435283065
rh,cuneus,1.3562607057036526,0.24567013334813403
rh,entorhinal,4.491546230129671,0.03538239794735627
rh,fusiform,1.5516991536587659,0.21444325618101784
rh,inferiorparietal,0.018149959467514725,0.8929767420906964
rh,inferiortemporal,0.5925699116515298,0.4423983745608393
rh,isthmuscingulate,0.8014309202241444,0.37181675744130127
rh,lateraloccipital,2.011231419424936,0.15780284484763774
rh,lateralorbitofrontal,0.036807371523491395,0.8480659332849274
rh,lingual,0.5386836432554715,0.46389800808395865
rh,medialorbitofrontal,1.4429178768445363,0.2311869540863885
rh,middletemporal,0.2822737025406249,0.5958453135211701
rh,parahippocampal,1.348920494249667,0.24694726794473057
rh,paracentral,1.327501006692655,0.250721100072862
rh,parsopercularis,0.7849114691424175,0.3767811037720059
rh,parsorbitalis,0.7239180648346633,0.395949861043307
rh,parstriangularis,5.263752287349646,0.022885152943320348
rh,pericalcarine,0.8581978015370506,0.355437554484597
rh,postcentral,0.7139127085218485,0.3992276658446874
rh,posteriorcingulate,0.009058279565557823,0.9242777412836628
rh,precentral,1.392542665252154,0.23947513498136755
rh,precuneus,0.21350797503641386,0.6445687998370191
rh,rostralanteriorcingulate,0.18346265451662275,0.6689071573962944
rh,rostralmiddlefrontal,1.9477715253463792,0.1644821407393997
rh,superiorfrontal,0.2963276706877205,0.586842363117646
rh,superiorparietal,1.2397816549463248,0.2669423137373615
rh,superiortemporal,2.2670087730985937,0.13384202034424578
rh,supramarginal,1.7871190177623946,0.18290164926370434
rh,frontalpole,1.0051148330027628,0.31737154816374186
rh,temporalpole,0.28258777839776544,0.5956409997932471
rh,transversetemporal,0.3416406243722498,0.5595882508367918
rh,insula,0.030770039220781427,0.8609442074348493
rh,BrainSegVolNotVent,0.4356200829843908,0.510056176064013
rh,eTIV,2.235830516110362,0.13652980969403355
